language,encoder,definition_gen_model,metric,space,spearman,timestamp,other
english,mmbert,gemini25pro,prt,def,0.008,2026-01-29 14:03:35,
english,mmbert,gemini25pro,apd,def,0.163,2026-01-29 14:03:35,
english,mmbert,gemini25pro,amd,def,0.509,2026-01-29 14:03:35,
english,mmbert,gemini25pro,amd_sym,def,0.511,2026-01-29 14:03:35,
english,mmbert,gemini25pro,amd_opt_sym,def,0.511,2026-01-29 14:03:35,
english,en,gemini25pro,prt,full,0.535,2026-01-29 14:03:43,
english,en,gemini25pro,apd,full,0.772,2026-01-29 14:03:43,
english,en,gemini25pro,amd,full,0.71,2026-01-29 14:03:43,
english,en,gemini25pro,amd_sym,full,0.717,2026-01-29 14:03:43,
english,en,gemini25pro,amd_opt_sym,full,0.72,2026-01-29 14:03:43,
english,en,gemini25pro,prt,pca,0.127,2026-01-29 14:03:43,
english,en,gemini25pro,apd,pca,0.224,2026-01-29 14:03:43,
english,en,gemini25pro,amd,pca,0.665,2026-01-29 14:03:43,
english,en,gemini25pro,amd_sym,pca,0.683,2026-01-29 14:03:43,
english,en,gemini25pro,amd_opt_sym,pca,0.696,2026-01-29 14:03:43,
english,en,gemini25pro,prt,def,0.28,2026-01-29 14:03:43,
english,en,gemini25pro,apd,def,0.282,2026-01-29 14:03:43,
english,en,gemini25pro,amd,def,0.645,2026-01-29 14:03:43,
english,en,gemini25pro,amd_sym,def,0.621,2026-01-29 14:03:43,
english,en,gemini25pro,amd_opt_sym,def,0.612,2026-01-29 14:03:43,
english,roberta,gemini25pro,prt,full,0.139,2026-01-29 14:03:53,
english,roberta,gemini25pro,apd,full,0.389,2026-01-29 14:03:53,
english,roberta,gemini25pro,amd,full,0.414,2026-01-29 14:03:53,
english,roberta,gemini25pro,amd_sym,full,0.308,2026-01-29 14:03:53,
english,roberta,gemini25pro,amd_opt_sym,full,0.355,2026-01-29 14:03:53,
english,roberta,gemini25pro,prt,pca,-0.201,2026-01-29 14:03:53,
english,roberta,gemini25pro,apd,pca,-0.034,2026-01-29 14:03:53,
english,roberta,gemini25pro,amd,pca,0.493,2026-01-29 14:03:53,
english,roberta,gemini25pro,amd_sym,pca,0.439,2026-01-29 14:03:53,
english,roberta,gemini25pro,amd_opt_sym,pca,0.41,2026-01-29 14:03:53,
english,roberta,gemini25pro,prt,def,0.262,2026-01-29 14:03:53,
english,roberta,gemini25pro,apd,def,0.444,2026-01-29 14:03:53,
english,roberta,gemini25pro,amd,def,0.564,2026-01-29 14:03:53,
english,roberta,gemini25pro,amd_sym,def,0.346,2026-01-29 14:03:53,
english,roberta,gemini25pro,amd_opt_sym,def,0.313,2026-01-29 14:03:53,
german,xll,gemini25pro,prt,full,0.881,2026-01-29 14:04:02,
german,xll,gemini25pro,apd,full,0.873,2026-01-29 14:04:02,
german,xll,gemini25pro,amd,full,0.804,2026-01-29 14:04:02,
german,xll,gemini25pro,amd_sym,full,0.903,2026-01-29 14:04:02,
german,xll,gemini25pro,amd_opt_sym,full,0.909,2026-01-29 14:04:02,
german,xll,gemini25pro,prt,pca,-0.041,2026-01-29 14:04:02,
german,xll,gemini25pro,apd,pca,0.661,2026-01-29 14:04:02,
german,xll,gemini25pro,amd,pca,0.81,2026-01-29 14:04:02,
german,xll,gemini25pro,amd_sym,pca,0.888,2026-01-29 14:04:02,
german,xll,gemini25pro,amd_opt_sym,pca,0.883,2026-01-29 14:04:02,
german,xll,gemini25pro,prt,def,0.862,2026-01-29 14:04:02,
german,xll,gemini25pro,apd,def,0.826,2026-01-29 14:04:02,
german,xll,gemini25pro,amd,def,0.906,2026-01-29 14:04:02,
german,xll,gemini25pro,amd_sym,def,0.773,2026-01-29 14:04:02,
german,xll,gemini25pro,amd_opt_sym,def,0.757,2026-01-29 14:04:02,
german,xlmr,gemini25pro,prt,full,0.493,2026-01-29 14:04:10,
german,xlmr,gemini25pro,apd,full,0.372,2026-01-29 14:04:10,
german,xlmr,gemini25pro,amd,full,0.445,2026-01-29 14:04:10,
german,xlmr,gemini25pro,amd_sym,full,0.394,2026-01-29 14:04:10,
german,xlmr,gemini25pro,amd_opt_sym,full,0.452,2026-01-29 14:04:10,
german,xlmr,gemini25pro,prt,pca,0.395,2026-01-29 14:04:10,
german,xlmr,gemini25pro,apd,pca,0.414,2026-01-29 14:04:10,
german,xlmr,gemini25pro,amd,pca,0.558,2026-01-29 14:04:10,
german,xlmr,gemini25pro,amd_sym,pca,0.664,2026-01-29 14:04:10,
german,xlmr,gemini25pro,amd_opt_sym,pca,0.692,2026-01-29 14:04:10,
german,xlmr,gemini25pro,prt,def,0.609,2026-01-29 14:04:10,
german,xlmr,gemini25pro,apd,def,0.491,2026-01-29 14:04:10,
german,xlmr,gemini25pro,amd,def,0.545,2026-01-29 14:04:10,
german,xlmr,gemini25pro,amd_sym,def,0.52,2026-01-29 14:04:10,
german,xlmr,gemini25pro,amd_opt_sym,def,0.456,2026-01-29 14:04:10,
german,rembert,gemini25pro,prt,full,0.527,2026-01-29 14:04:16,
german,rembert,gemini25pro,apd,full,0.403,2026-01-29 14:04:16,
german,rembert,gemini25pro,amd,full,0.406,2026-01-29 14:04:16,
german,rembert,gemini25pro,amd_sym,full,0.529,2026-01-29 14:04:16,
german,rembert,gemini25pro,amd_opt_sym,full,0.542,2026-01-29 14:04:16,
german,rembert,gemini25pro,prt,pca,-0.135,2026-01-29 14:04:16,
german,rembert,gemini25pro,apd,pca,0.343,2026-01-29 14:04:16,
german,rembert,gemini25pro,amd,pca,0.547,2026-01-29 14:04:16,
german,rembert,gemini25pro,amd_sym,pca,0.631,2026-01-29 14:04:16,
german,rembert,gemini25pro,amd_opt_sym,pca,0.63,2026-01-29 14:04:16,
german,rembert,gemini25pro,prt,def,0.629,2026-01-29 14:04:16,
german,rembert,gemini25pro,apd,def,0.31,2026-01-29 14:04:16,
german,rembert,gemini25pro,amd,def,0.555,2026-01-29 14:04:16,
german,rembert,gemini25pro,amd_sym,def,0.496,2026-01-29 14:04:16,
german,rembert,gemini25pro,amd_opt_sym,def,0.445,2026-01-29 14:04:16,
german,multilingual-e5,gemini25pro,prt,full,0.519,2026-01-29 14:04:21,
german,multilingual-e5,gemini25pro,apd,full,0.452,2026-01-29 14:04:21,
german,multilingual-e5,gemini25pro,amd,full,0.421,2026-01-29 14:04:21,
german,multilingual-e5,gemini25pro,amd_sym,full,0.539,2026-01-29 14:04:21,
german,multilingual-e5,gemini25pro,amd_opt_sym,full,0.532,2026-01-29 14:04:21,
