language,encoder,definition_gen_model,metric,space,spearman,timestamp,other
english,xlmr,gemini25pro,apd,def,-0.12,2026-01-30 17:30:43,
english,xlmr,gemini25pro,amd,def,0.399,2026-01-30 17:30:43,
english,xlmr,gemini25pro,amd_sym,def,0.357,2026-01-30 17:30:43,
english,xlmr,gemini25pro,amd_opt_sym,def,0.344,2026-01-30 17:30:43,
english,xlmr,gemini25pro,prt,rand,0.346,2026-01-30 17:30:43,
english,xlmr,gemini25pro,apd,rand,0.365,2026-01-30 17:30:43,
english,xlmr,gemini25pro,amd,rand,0.373,2026-01-30 17:30:43,
english,xlmr,gemini25pro,amd_sym,rand,0.348,2026-01-30 17:30:43,
english,xlmr,gemini25pro,amd_opt_sym,rand,0.36,2026-01-30 17:30:43,
english,xlmr,gemini25pro,hub_topshare_t2_to_t1,full,0.10365056837904324,2026-01-30 17:30:43,hubness_mean_over_words
english,xlmr,gemini25pro,hub_antihubshare_t1_wrt_t2,full,0.6362753774023272,2026-01-30 17:30:43,hubness_mean_over_words
english,xlmr,gemini25pro,hub_meanfanout_t1_wrt_t2,full,2.8011375504571037,2026-01-30 17:30:43,hubness_mean_over_words
english,xlmr,gemini25pro,hub_topshare_t1_to_t2,full,0.13110491578104716,2026-01-30 17:30:43,hubness_mean_over_words
english,xlmr,gemini25pro,hub_antihubshare_t2_wrt_t1,full,0.6661173852189191,2026-01-30 17:30:43,hubness_mean_over_words
english,xlmr,gemini25pro,hub_meanfanout_t2_wrt_t1,full,3.0485570624067977,2026-01-30 17:30:43,hubness_mean_over_words
english,xlmr,gemini25pro,hub_topshare_t2_to_t1,pca,0.07573090061387663,2026-01-30 17:30:43,hubness_mean_over_words
english,xlmr,gemini25pro,hub_antihubshare_t1_wrt_t2,pca,0.5774949528626426,2026-01-30 17:30:43,hubness_mean_over_words
english,xlmr,gemini25pro,hub_meanfanout_t1_wrt_t2,pca,2.435104801848128,2026-01-30 17:30:43,hubness_mean_over_words
english,xlmr,gemini25pro,hub_topshare_t1_to_t2,pca,0.11755421366028998,2026-01-30 17:30:43,hubness_mean_over_words
english,xlmr,gemini25pro,hub_antihubshare_t2_wrt_t1,pca,0.5932215653933961,2026-01-30 17:30:43,hubness_mean_over_words
english,xlmr,gemini25pro,hub_meanfanout_t2_wrt_t1,pca,2.5494842239328332,2026-01-30 17:30:43,hubness_mean_over_words
english,xlmr,gemini25pro,hub_topshare_t2_to_t1,def,0.06077516395099096,2026-01-30 17:30:43,hubness_mean_over_words
english,xlmr,gemini25pro,hub_antihubshare_t1_wrt_t2,def,0.512011935691701,2026-01-30 17:30:43,hubness_mean_over_words
english,xlmr,gemini25pro,hub_meanfanout_t1_wrt_t2,def,2.1490822096128723,2026-01-30 17:30:43,hubness_mean_over_words
english,xlmr,gemini25pro,hub_topshare_t1_to_t2,def,0.06529928619895613,2026-01-30 17:30:43,hubness_mean_over_words
english,xlmr,gemini25pro,hub_antihubshare_t2_wrt_t1,def,0.5383297901107955,2026-01-30 17:30:43,hubness_mean_over_words
english,xlmr,gemini25pro,hub_meanfanout_t2_wrt_t1,def,2.2344647678169043,2026-01-30 17:30:43,hubness_mean_over_words
english,xlmr,gemini25pro,hub_topshare_t2_to_t1,rand,0.05054249056360036,2026-01-30 17:30:43,hubness_mean_over_words
english,xlmr,gemini25pro,hub_antihubshare_t1_wrt_t2,rand,0.49466359617784,2026-01-30 17:30:43,hubness_mean_over_words
english,xlmr,gemini25pro,hub_meanfanout_t1_wrt_t2,rand,1.996488719373136,2026-01-30 17:30:43,hubness_mean_over_words
english,xlmr,gemini25pro,hub_topshare_t1_to_t2,rand,0.06343230233235209,2026-01-30 17:30:43,hubness_mean_over_words
english,xlmr,gemini25pro,hub_antihubshare_t2_wrt_t1,rand,0.5227699717921723,2026-01-30 17:30:43,hubness_mean_over_words
english,xlmr,gemini25pro,hub_meanfanout_t2_wrt_t1,rand,2.119462564184859,2026-01-30 17:30:43,hubness_mean_over_words
english,rembert,gemini25pro,prt,full,0.296,2026-01-30 17:30:49,
english,rembert,gemini25pro,apd,full,0.41,2026-01-30 17:30:49,
english,rembert,gemini25pro,amd,full,0.33,2026-01-30 17:30:49,
english,rembert,gemini25pro,amd_sym,full,0.333,2026-01-30 17:30:49,
english,rembert,gemini25pro,amd_opt_sym,full,0.344,2026-01-30 17:30:49,
english,rembert,gemini25pro,prt,pca,-0.094,2026-01-30 17:30:49,
english,rembert,gemini25pro,apd,pca,0.059,2026-01-30 17:30:49,
english,rembert,gemini25pro,amd,pca,0.493,2026-01-30 17:30:49,
english,rembert,gemini25pro,amd_sym,pca,0.483,2026-01-30 17:30:49,
english,rembert,gemini25pro,amd_opt_sym,pca,0.494,2026-01-30 17:30:49,
english,rembert,gemini25pro,prt,def,0.275,2026-01-30 17:30:49,
english,rembert,gemini25pro,apd,def,0.325,2026-01-30 17:30:49,
english,rembert,gemini25pro,amd,def,0.583,2026-01-30 17:30:49,
english,rembert,gemini25pro,amd_sym,def,0.548,2026-01-30 17:30:49,
english,rembert,gemini25pro,amd_opt_sym,def,0.555,2026-01-30 17:30:49,
english,rembert,gemini25pro,prt,rand,0.354,2026-01-30 17:30:49,
english,rembert,gemini25pro,apd,rand,0.225,2026-01-30 17:30:49,
english,rembert,gemini25pro,amd,rand,0.414,2026-01-30 17:30:49,
english,rembert,gemini25pro,amd_sym,rand,0.427,2026-01-30 17:30:49,
english,rembert,gemini25pro,amd_opt_sym,rand,0.44,2026-01-30 17:30:49,
english,rembert,gemini25pro,hub_topshare_t2_to_t1,full,0.10841875755212578,2026-01-30 17:30:49,hubness_mean_over_words
english,rembert,gemini25pro,hub_antihubshare_t1_wrt_t2,full,0.646667386494995,2026-01-30 17:30:49,hubness_mean_over_words
english,rembert,gemini25pro,hub_meanfanout_t1_wrt_t2,full,2.9288137925637736,2026-01-30 17:30:49,hubness_mean_over_words
english,rembert,gemini25pro,hub_topshare_t1_to_t2,full,0.1467586707737456,2026-01-30 17:30:49,hubness_mean_over_words
english,rembert,gemini25pro,hub_antihubshare_t2_wrt_t1,full,0.6910047112491434,2026-01-30 17:30:49,hubness_mean_over_words
english,rembert,gemini25pro,hub_meanfanout_t2_wrt_t1,full,3.3446765590358423,2026-01-30 17:30:49,hubness_mean_over_words
english,rembert,gemini25pro,hub_topshare_t2_to_t1,pca,0.09042903261894158,2026-01-30 17:30:49,hubness_mean_over_words
english,rembert,gemini25pro,hub_antihubshare_t1_wrt_t2,pca,0.613835191067154,2026-01-30 17:30:49,hubness_mean_over_words
english,rembert,gemini25pro,hub_meanfanout_t1_wrt_t2,pca,2.701838309700425,2026-01-30 17:30:49,hubness_mean_over_words
english,rembert,gemini25pro,hub_topshare_t1_to_t2,pca,0.12975844503785142,2026-01-30 17:30:49,hubness_mean_over_words
english,rembert,gemini25pro,hub_antihubshare_t2_wrt_t1,pca,0.6317111818890927,2026-01-30 17:30:49,hubness_mean_over_words
english,rembert,gemini25pro,hub_meanfanout_t2_wrt_t1,pca,2.8610853858896204,2026-01-30 17:30:49,hubness_mean_over_words
english,rembert,gemini25pro,hub_topshare_t2_to_t1,def,0.06924487376971852,2026-01-30 17:30:49,hubness_mean_over_words
english,rembert,gemini25pro,hub_antihubshare_t1_wrt_t2,def,0.5570034054656603,2026-01-30 17:30:49,hubness_mean_over_words
english,rembert,gemini25pro,hub_meanfanout_t1_wrt_t2,def,2.382920010669811,2026-01-30 17:30:49,hubness_mean_over_words
english,rembert,gemini25pro,hub_topshare_t1_to_t2,def,0.07982129794811374,2026-01-30 17:30:49,hubness_mean_over_words
english,rembert,gemini25pro,hub_antihubshare_t2_wrt_t1,def,0.5728276421849532,2026-01-30 17:30:49,hubness_mean_over_words
english,rembert,gemini25pro,hub_meanfanout_t2_wrt_t1,def,2.4723999306962297,2026-01-30 17:30:49,hubness_mean_over_words
english,rembert,gemini25pro,hub_topshare_t2_to_t1,rand,0.06079915695821094,2026-01-30 17:30:49,hubness_mean_over_words
english,rembert,gemini25pro,hub_antihubshare_t1_wrt_t2,rand,0.5244969376127671,2026-01-30 17:30:49,hubness_mean_over_words
